gram,counts
covid 19,77337
new cases,1571
death toll,1104
vaccine rollout,794
public health,773
rapidly changing,650
changing revolving,645
innovation vaccine,645
half million,642
last year,634
herd immunity,626
united states,623
selling cute,603
related facemasks,603
facemasks well,603
stickers pillows,602
pillows etc,599
takedowntheccp 爆料革命,596
vaccine uphill,569
24 hours,560
active cases,520
nears 500,496
boris johnson,483
operationbreathefreshcleanair enviroklenzairpurifiers,483
reaches 500,473
february 21,438
repeated failure,430
smallbusiness redbubble,427
get vaccine,425
first dose,425
merch shirts,423
shirts mugs,423
airborne setting,422
setting repeated,422
nursing home,420
new deaths,417
please help,417
healthcare shop,417
tested positive,412
wear masks,406
pfizer vaccine,391
vaccine doses,385
health minister,382
washyourhands vaccine,373
health care,371
employees delightfor,367
