gram,counts
covid 19,160661
new cases,3613
tested positive,2243
plasma treatment,1995
think new,1831
public health,1763
seinfeld think,1729
death toll,1417
back school,1370
active cases,1270
first case,1148
confirmed cases,1082
emergency use,1082
24 hours,990
researchers say,979
united states,974
loses wife,966
health commissioner,944
herd immunity,942
every day,927
new deaths,874
mental health,861
first confirmed,855
re infection,840
boris johnson,814
face masks,800
emergency authorization,755
first time,733
trump announces,732
white house,722
health care,718
death rate,718
please help,717
first documented,713
wear masks,711
kong researchers,686
plasma therapy,650
