gram,counts
covid 19,200078
new cases,4686
white house,3791
tested positive,3064
public health,2551
united states,2112
wear masks,1951
death toll,1820
stay home,1485
first time,1430
herd immunity,1411
face masks,1334
confirmed cases,1313
back school,1298
active cases,1293
24 hours,1291
face mask,1275
health care,1241
trying steal,1231
nursing homes,1182
accuses beijing,1171
new deaths,1127
death rate,1125
treat whistleblowers,1100
whistleblowers telling,1097
vaccine research,1083
know treat,1005
spread truth,1005
world truth,1004
beijing covered,1001
whitehouse realdonaldtrump,997
mental health,961
fake news,956
two chinese,911
recovery fund,893
sector workers,872
months ago,864
higher reported,850
