gram,counts
covid 19,198055
new cases,5398
white house,3839
tested positive,3709
public health,2234
herd immunity,2089
face masks,2069
united states,1916
stay home,1850
wear masks,1844
cover up,1778
face coverings,1764
nursing homes,1752
death toll,1598
first time,1530
south africa,1523
death rate,1461
higher taxes,1424
back school,1422
24 hours,1387
confirmed cases,1361
face mask,1233
active cases,1207
call higher,1180
chuck woolery,1157
second wave,1139
health care,1127
accuses beijing,1110
new deaths,1088
york city,1074
flees hong,1064
wear face,1045
treat whistleblowers,1015
human trials,1005
around world,1005
taxes wealthy,999
wealthy pay,983
testing positive,954
mental health,943
health officials,939
since march,925
show host,923
fake news,877
