gram,counts
covid 19,162939
new cases,5277
tested positive,3120
death toll,2170
death rate,1991
stay home,1899
totally harmless,1873
united states,1784
24 hours,1729
public health,1620
cases harmless,1605
broadway actor,1595
wear masks,1550
white house,1474
july 4th,1381
fourth july,1374
cases totally,1358
4th july,1307
confirmed cases,1269
socially distance,1258
broadway star,1255
active cases,1235
long term,1206
crystal clear,1177
second wave,1163
actor nick,1072
new normal,1055
back trump,1012
ghislaine maxwell,959
new deaths,931
total number,921
herd immunity,921
face masks,902
fake news,900
health care,899
first time,841
nursing homes,831
wash hands,830
face mask,821
top story,791
