gram,counts
covid 19,67288
whatshappeninginmyanmar may30coup,4116
cvs near,1856
new cases,1354
fase plan,736
active cases,698
last year,677
24 hours,615
aged care,612
fully vaccinated,496
public health,495
second wave,469
sheriff deputy,437
boris johnson,434
vaxxer sheriff,423
may30coup whatshappeninginmyanmar,420
death toll,408
united states,405
complications shortly,397
mocking vaccine,393
shortly mocking,392
leak theory,385
awanishsharan iasassociation,370
ips_association sonusood,370
blood clots,365
vaccine facebook,347
vaccine doses,342
new deaths,335
study claims,333
children orphaned,330
positivity rate,327
stay home,316
third wave,309
