gram,counts
covid 19,179940
new cases,4107
tested positive,2974
death toll,2956
public health,2404
united states,1693
first time,1482
confirmed cases,1288
white house,1288
mental health,1222
active cases,1205
face masks,1137
24 hours,1095
health care,1054
already surpassed,1047
new deaths,1027
back school,1011
toll already,1011
death rate,945
republican party,891
herd immunity,846
post office,828
says holding,825
high school,789
nursing homes,786
second wave,766
warning fall,759
every day,733
around world,725
service funds,725
face mask,717
