gram,counts
true href rel,3461
rel nofollow twitter,2969
moved intensive care,2673
boris johnson moved,2651
johnson moved intensive,2378
nofollow twitter web,1993
minister boris johnson,1850
twitter web app,1739
zoo tests positive,1222
new york times,981
new york city,943
pm boris johnson,853
nofollow twitter android,781
share using link,779
download share using,777
please download share,772
intensive care symptoms,764
care symptoms worsen,745
stay at home,723
johnson intensive care,714
setu app fight,711
recommend aarogya setu,710
boris johnson admitted,702
health care workers,681
boris johnson intensive,667
world health organization,496
stay home stay,460
home stay safe,459
billboardincludethe10k trump suho,429
pep guardiola mother,415
boris johnson government,388
transition period focus,350
period focus nhs,349
sign petition asking,349
government extend transition,348
johnson government extend,348
asking boris johnson,347
petition asking boris,345
helped save life,345
trump helped save,339
world changing eyes,336
