gram,counts
covid 19,200095
new cases,5995
tested positive,3735
public health,3001
united states,2499
wear masks,2371
death toll,2185
stay home,2006
face masks,1744
24 hours,1470
confirmed cases,1467
world stock,1461
death panels,1365
health care,1337
buys world,1322
nursing homes,1185
new normal,1173
active cases,1165
herd immunity,1139
around world,1103
death rate,1090
every day,1068
face mask,1056
rest world,1022
new deaths,1015
fake news,1011
first time,976
second wave,965
white house,934
wash hands,909
mental health,902
health officials,867
