gram,counts
covid 19,209532
death toll,5301
new cases,5235
nursing homes,5022
new normal,4701
death rate,3502
public health,2512
tested positive,2369
nursing home,2240
cashless society,2183
confirmed cases,1982
rfid microchip,1888
microchip mark,1886
second wave,1881
stay home,1838
united states,1804
care homes,1695
mental health,1616
highest death,1577
fake news,1499
health care,1491
boris johnson,1490
read article,1483
south korea,1440
behind calculating,1417
24 hours,1292
society know,1277
suffers highest,1197
new deaths,1190
free read,1158
white house,1110
first time,1053
interesting article,1053
active cases,1051
thearieair tjhinfar21,1045
divhumas_polri thearieair,1038
around world,1036
tjhinfar21 aryprasetyo85,1035
fact check,1019
cases deaths,1014
