gram,counts
covid 19,169002
94 effective,7188
vaccine 94,5862
new cases,3321
tested positive,2739
public health,2320
nearly 95,1969
95 effective,1950
vaccine candidate,1937
effective preventing,1931
moderna vaccine,1927
united states,1898
stay home,1853
early data,1843
boris johnson,1831
white house,1370
health care,1363
new restrictions,1273
active cases,1129
long term,1123
second wave,1122
michigan rise,1068
vaccine news,1030
says vaccine,1018
mental health,1016
vaccine shows,1013
vaccine nearly,1006
great news,995
wash hands,948
herd immunity,934
operation warp,931
around world,918
effective according,905
vaccine found,905
loved ones,838
self isolating,836
death toll,807
every day,754
cases deaths,738
confirmed cases,720
24 hours,709
show moderna,708
new deaths,706
next year,699
