gram,counts
covid 19,103879
new cases,1729
boris johnson,1339
tested positive,1214
public health,937
long term,737
death toll,730
vaccine doses,703
stay home,675
last year,632
24 hours,594
united states,586
testing positive,560
south africa,545
new deaths,528
vaccine programme,523
vaccine rollout,519
health care,511
active cases,509
one year,507
able play,507
show host,502
government pharmacies,499
health officials,491
first dose,482
face mask,470
tests positive,412
nothing change,399
confirmed cases,397
total number,396
get vaccine,393
mental health,390
vaccine distribution,387
care home,371
