gram,counts
covid 19,103062
new cases,3581
tested positive,1661
24 hours,1312
death toll,1253
public health,1141
active cases,980
confirmed cases,797
new deaths,718
united states,707
cases deaths,687
second wave,640
long term,611
death rate,611
every day,589
south korea,566
around world,557
total number,520
mental health,520
herd immunity,520
cases india,515
white house,506
would trust,504
back school,490
confirmed uk,478
stay home,468
health ministry,465
face mask,456
fatality rate,445
nursing homes,435
