gram,counts
true href rel,2850
rel nofollow twitter,2457
nofollow twitter web,1684
twitter web app,1469
stay at home,1026
petition via ukchange,910
new york times,892
health care workers,684
new york city,616
nofollow twitter android,611
apoyan chief antonioguterres,520
chief antonioguterres bold,503
antonioguterres bold call,503
bold call globalceasefire,503
standing chief antonioguterres,488
world standing chief,485
joining hundreds thousands,476
captain raised alarm,443
stay home stay,435
stay home order,383
dr stephen smith,377
scott manny rafa,355
