gram,counts
covid 19,196265
new cases,5431
tested positive,2924
death toll,2705
public health,2370
stay home,2045
nursing homes,1888
confirmed cases,1860
herd immunity,1860
united states,1801
health care,1706
half million,1672
second wave,1629
active cases,1456
face masks,1405
24 hours,1402
boris johnson,1278
new normal,1249
death rate,1226
new deaths,1192
face mask,1132
mental health,1085
around world,1032
white house,981
yet come,958
total number,943
wash hands,923
fox news,920
bts followtrick,904
followtrick sdv,892
health officials,891
number cases,850
please retweet,849
leicesterlockdown lluvia,839
wonho leicesterlockdown,824
nytimes foxnews,819
fake news,803
cases deaths,792
