gram,counts
covid 19,95987
2021 vaccine,3329
min age,3328
vaccine vaccinepune,3328
vaccinepune cowin,3328
third wave,3187
whatshappeninginmyanmar june28coup,3121
covishield min,2715
pandemic third,2715
military coup,2714
myanmar whatshappeninginmyanmar,2711
atrocious military,2706
facing inhumane,2705
cdm government,1903
cooperatives forced,1903
forced redeem,1903
previously redeemed,1893
terrorists previously,1892
june27coup whatshappeninginmyanmar,1882
fully vaccinated,1679
new cases,1619
cvs near,1453
recognizenug whatshappeninginmyanmar,1366
pmcpvaccines covishield,1179
whatshappeninginmyanmar june27coup,984
public health,946
24 hours,753
south africa,702
moderna vaccines,702
vaccine doses,645
vaccines likely,576
