gram,counts
covid 19,118543
new cases,2032
tested positive,1680
public health,1423
24 hours,1313
second wave,1168
may6coup whatshappeninginmyanmar,1165
last year,991
physically mentally,962
military coup,959
suffering much,957
much physically,953
mentally pandemic,953
coup may6coup,948
fully vaccinated,882
around world,828
patent waiver,762
vaccine patent,751
stay home,703
vaccine patents,695
vaccine doses,679
death toll,674
hope everyone,661
third wave,659
united states,650
mental health,644
active cases,613
