gram,counts
covid 19,155787
july23coup whatshappeninginmyanmar,46621
icj_bringsactojustice july23coup,43055
whatshappeninginmyanmar july23coup,20180
icrc_savemyanmarprisoners whatshappeninginmyanmar,19665
international community,15686
icrc international,15197
enough medical,11796
providing enough,11780
us icrc_savemyanmarprisoners,11762
icj_bringsactojustice whatshappeninginmyanmar,11211
july23coup icj_bringsactojustice,10272
community help,9578
weapons icj_bringsactojustice,8577
weapon mass,5910
whatshappeninginmyanmar icrc_savemyanmarprisoners,5311
military dictatorship,4247
health ministry,3844
coalition strike,3805
cracked coalition,3804
2021 vaccine,3576
min age,3570
vaccine vaccinepune,3570
vaccinepune cowin,3570
community icrc_savemyanmarprisoners,3498
death toll,3116
military dictator,3097
covishield min,3018
care whatshappeninginmyanmar,2982
times higher,2892
crimesagainsthumanity warcrimes,2875
warcrimes junta,2874
end impunity,2872
health care,2849
three times,2834
ministry reported,2830
least three,2825
civilians using,2821
reported numbers,2815
higher junta,2814
numbers icj_bringsactojustice,2805
must win,2717
july23coup releasethedetainees,2705
insufficient medical,2693
powerful civilians,2685
save thousands,2685
win icj_bringsactojustice,2684
thousands prisoners,2684
viciously suppressed,2683
prisoners viciously,2679
suppressed military,2679
tostevinm freya_cole,2564
japannewseditor mbcnews,2561
ungeneva whosearo,2560
freya_cole shafiur,2560
mbcnews asiatimesonline,2560
whosearo rapporteurun,2559
also help,2482
contribution counts,2464
counts find,2464
every contribution,2462
organisations fight,2461
medical treatment,2454
find also,2420
help organisations,2420
fully vaccinated,2417
icj_bringsactojustice icrc_savemyanmarprisoners,2359
please help,2335
section 505,2319
charged section,2317
505 protesting,2314
prison charged,2313
terrorists viocently,2276
viocently cracked,2276
yinmarpin qbducted,2258
qbducted 5volunteering,2258
protested military,2246
icrc help,2223
unlawfully abducted,2212
abducted sac,2197
need proper,2191
prison icj_bringsactojustice,2159
protest break,2149
