gram,counts
covid 19,43687
ed sheeran,1489
oct24coup whatshappeninginmyanmar,1050
helpchinstate oct24coup,948
fully vaccinated,852
new cases,797
tested positive,717
public health,540
sheeran tests,431
24 hours,333
boris johnson,322
sanctioniswrong unityforethiopia,298
tplfsurrendernow sanctioniswrong,297
devastating impact,294
disarming tplfterroristgroup,292
democracyshallwin tplfsurrendernow,292
tplfterroristgroup democracyshallwin,290
ethiopia country,289
impact makes,289
country 110,287
booster shots,285
united states,283
booster shot,275
active cases,263
gain function,251
girlswhocode ronaldo,251
python programming,251
mountainofmystery mwelekeoniinternet,251
24oct toma,243
liverpool 1hourgaintrain,231
1hourgaintrain busia,231
busia mountainofmystery,231
analytics data,231
22 updated,228
new deaths,225
scientists usafacts,223
