gram,counts
covid 19,122577
new cases,2969
tested positive,1605
public health,1364
second wave,1189
white house,1145
active cases,1092
mental health,947
united states,928
death toll,849
health care,812
electionday election2020,809
deadly phase,792
24 hours,739
new deaths,737
vaccine means,724
soon election,723
expect two,721
major unknowns,721
unknowns resolved,721
boris johnson,693
first wave,640
stay home,609
cases deaths,594
confirmed cases,593
around world,584
top trump,568
positivity rate,564
recovery rate,547
loved ones,513
please send,513
