gram,counts
covid 19,107924
new year,3433
new cases,1957
health care,1607
tested positive,1326
king hospitalized,1229
public health,1177
health minister,979
stay home,951
death toll,915
selling cute,905
related facemasks,905
stickers pillows,905
care workers,903
pillows etc,903
facemasks well,902
new strain,741
united states,722
mix and,722
and match,717
24 hours,714
emergency use,656
match vaccinations,653
across country,652
healthcare workers,648
maskup washyourhands,641
washyourhands vaccine,639
merch shirts,638
shirts mugs,638
newyear smallbusiness,636
vaccinations confounding,546
active cases,544
confounding experts,537
britain opts,531
us health,531
show host,523
vaccine rollout,517
last year,514
smallbusiness redbubble,508
host larry,506
vaccine via,505
recovery rate,495
protection 99,494
efficacy pamphlet,494
planet earth,485
bjp vaccine,477
around world,463
health officials,460
every day,460
boris johnson,436
