gram,counts
covid 19,141943
south africa,2393
new cases,2099
public health,1533
at home,1334
stay home,1216
tested positive,1205
white house,1114
south african,1092
last year,1069
super bowl,842
death toll,774
vaccine distribution,767
first case,761
mental health,753
vaccine rollout,751
one year,743
united states,733
herd immunity,692
active cases,651
health care,629
boris johnson,618
first time,603
fake news,554
first dose,552
health officials,549
vaccine doses,548
24 hours,547
new deaths,538
every american,535
