gram,counts
true href rel,4131
rel nofollow twitter,3559
nofollow twitter web,2499
twitter web app,2136
tjhinfar21 aryprasetyo85 thearieair,1429
new york times,1187
cats new york,1185
towards cashless society,1136
stay at home,1109
thearieair sinergi semua,1024
aryprasetyo85 thearieair sinergi,1024
cdc director warns,980
ri herman hery,978
two pet cats,967
cashless society know,956
advocates green justrecovery,944
pmk advocates green,936
green justrecovery post,915
herman hery dprriapresiasipolri,885
nofollow twitter android,873
