gram,counts
covid 19,126561
new cases,2571
public health,1364
tested positive,1346
stay home,1302
south africa,1041
vaccine rollout,958
united states,921
death toll,913
24 hours,913
health care,787
new year,759
frontline workers,731
first time,715
last year,672
emergency tokyo,669
active cases,665
long term,640
new deaths,579
mental health,574
confirmed cases,573
health minister,530
vaccine distribution,526
health officials,493
boris johnson,488
second wave,484
new record,479
first dose,472
legacy impeached,470
impeached spread,469
amp caught,469
