gram,counts
covid 19,145761
white house,8773
tested positive,6959
professional mask,5271
secret service,4950
comfortable wear,4864
trump infected,3825
google searches,2994
thought great,2987
recommended professional,2982
purchasing channels,2982
could defeated,2982
defeated comfortable,2982
approved used,2982
used thought,2982
great buy,2982
searches ushoparea,2982
first lady,2847
new cases,2830
search ushoparea,2581
trump first,2355
wash hands,2175
lady tested,2019
recommend professional,1978
purchasing channel,1978
certification wear,1723
photo op,1622
boris johnson,1568
hands disinfect,1402
service agents,1400
public health,1395
united states,1358
testing positive,1207
fake news,1192
google search,1030
fox news,952
active cases,945
hermetically sealed,940
amy coney,910
24 hours,903
fashion designer,894
majority americans,873
loved ones,842
disinfect buy,842
mental health,791
first positive,789
confirmed cases,788
last three,764
