gram,counts
covid 19,84211
new cases,1719
tested positive,1059
fully vaccinated,901
vaccine passports,801
health social,769
significant health,756
addressed amp,755
challenges ethiopia,749
warontigray addressed,749
funding play,748
last year,711
public health,704
24 hours,691
cvs near,587
vaccine doses,564
active cases,489
using food,485
warontigray demand,485
ethiopian meanwhile,483
meanwhile still,482
food weapon,482
weapon warontigray,482
reward funds,482
reported 35,472
tigray inaccessible,471
looted destroyed,471
inaccessible looted,470
