gram,counts
covid 19,163866
death toll,5830
boris johnson,5346
affects virtually,3634
new cases,3616
tested positive,3274
public health,2416
united states,2054
take action,1772
second wave,1768
washington post,1731
players tested,1646
play without,1601
forced play,1530
know fifa,1522
alhilal_fc forced,1510
action make,1501
game please,1467
hits 200,1323
active cases,1285
make theafccl,1268
theafccl fair,1259
new york,1193
18 players,1186
new restrictions,1171
without 18,1146
white house,1136
us death,1094
new normal,1038
stop spread,1033
wars combined,1030
mental health,1001
recovery rate,985
long term,978
herd immunity,975
contractors washington,969
toll tops,954
24 hours,946
battle deaths,936
us battle,922
deaths wars,921
loved ones,906
health care,880
confirmed cases,876
fox news,874
west ham,874
