gram,counts
covid 19,95183
may28coup whatshappeninginmyanmar,4980
ministry health,2335
health sports,2201
sports mohs,2201
mohs announced,2190
announced 96,2189
cvs near,1867
new cases,1586
whatshappeninginmyanmar may28coup,1318
domestic flights,1154
schools announced,1146
failing reopen,1145
flights failing,1142
military terrorists,898
cover atrocities,897
atrocities whatshappeninginmyanmar,894
fully vaccinated,833
24 hours,736
public health,733
second wave,689
total lockdown,677
last year,656
vaccine doses,641
active cases,583
blood clots,536
leak theory,507
