gram,counts
covid 19,206204
new cases,5285
second wave,4483
tested positive,2779
public health,2370
death toll,2336
trump rally,1933
confirmed cases,1649
wear masks,1643
stay home,1582
nursing homes,1562
health care,1555
new normal,1542
24 hours,1460
cashless society,1415
white house,1337
first wave,1256
offer support,1235
arts particularly,1233
particularly theatres,1232
theatres music,1216
face masks,1209
mental health,1189
united states,1174
petition offer,1173
microchip mark,1147
active cases,1091
new deaths,1046
health minister,1043
read article,1019
face mask,969
around world,944
wash hands,905
great news,888
total number,887
behind calculating,884
health officials,864
