gram,counts
covid 19,84618
aug1coup whatshappeninginmyanmar,5569
whatshappeninginmyanmar aug1coup,3896
2021 vaccine,3138
min age,3136
vaccine vaccinepune,3136
vaccinepune cowin,3136
ugandaisbleeding accountability,2898
accountability kgeorgieva,2898
need accountability,2897
stop confusing,2861
covishield min,2850
resignation dianaatwine,2847
accountability amp,2026
janeruth_aceng stop,1991
fully vaccinated,1738
new cases,1686
instead protecting,1335
military terrorist,1333
crimesagainsthumanity whatshappeninginmyanmar,1328
everyday instead,1326
magway infected,1242
13 charity,1212
charity members,1212
treat homes,1212
military coup,1152
aug1coup milkteaalliance,1141
meanwhile sac,1091
eager control,1091
nation whatshappeninginmyanmar,1083
whatshappeninginmyanmar crimesagainsthumanity,1079
stop playing,1076
playing lives,1071
also help,995
contribution counts,992
counts find,991
every contribution,990
organisations fight,988
find also,973
help organisations,972
lost everything,926
coup myanmar,925
everything sign,920
breaks record,916
minofhealthug ugandans,916
vaccinated americans,760
public health,758
death toll,743
tested positive,737
give insight,722
24 hours,714
scientists usafacts,712
