gram,counts
covid 19,96236
new cases,1645
public health,1112
signed petition,925
daily government,912
provide british,910
british sign,909
calling govuk,904
south africa,879
tested positive,776
protesters gather,750
gather entrance,721
last year,671
stay home,623
one year,582
active cases,556
health care,553
south african,553
death toll,549
united states,548
vaccine doses,533
get vaccine,480
mental health,474
new deaths,473
long term,472
nursing home,471
stephen lynch,451
24 hours,448
plan offer,435
vaccine rollout,428
health officials,427
wear masks,426
around world,405
northern ireland,379
public transportation,373
vaccine distribution,364
