gram,counts
covid 19,97546
whatshappeninginmyanmar june24coup,11934
auspicerefugees whatshappeninginmyanmar,6840
june24coup whatshappeninginmyanmar,3735
2021 vaccine,3573
min age,3572
vaccine vaccinepune,3572
vaccinepune cowin,3572
covishield min,3176
besides coup,2790
hard auspicerefugees,2778
cases alsokeep,2765
terrorists preparation,2393
face masks,2335
city main,2169
wore face,2168
boycott military,2167
infection protesters,2166
masks whatshappeninginmyanmar,2158
high number,2004
despite high,1985
ethnic youths,1983
infections daily,1983
daily auspicerefugees,1979
cvs near,1755
new cases,1609
pmcpvaccines covishield,1430
fully vaccinated,1367
capacity dates,821
covishield covaxin,784
vaccine slot,756
2021min age,750
slot covishield,750
24 hours,735
third wave,719
public health,707
extraordinary effort,666
last year,632
whatshappeninginmyanmar june25coup,592
thursdaymorning thursdayvibes,579
active cases,557
tested positive,544
