gram,counts
covid 19,112177
aug5coup whatshappeninginmyanmar,10859
whatshappeninginmyanmar aug5coup,4005
new cases,3464
2021 vaccine,3153
min age,3145
vaccine vaccinepune,3145
vaccinepune cowin,3145
covishield min,2552
tested positive,2062
fully vaccinated,1894
death toll,1715
trying cover,1542
terrorists trying,1537
inhumane acts,1537
acts claiming,1537
claiming victim,1537
stoptorture whatshappeninginmyanmar,1533
coup deadly,1497
everyday junta,1495
third wave,1490
cases still,1437
still increasing,1410
increasing drastically,1405
drastically myanmar,1402
amp food,1365
awareness amp,1354
food donation,1351
2021 philanthropists,1350
nug whatshappeninginmyanmar,1311
health problems,1293
aug5coup milkteaalliance,1289
basic foods,1266
comedy youth,1261
youth charity,1261
many difficulties,1258
based comedy,1256
suffering many,1256
foods public,1255
families suffering,1255
difficulties foods,1255
foods health,1255
due third,1255
donated medicines,1255
charity donated,1253
governmentnug fight,1244
legally governmentnug,1243
food amp,1158
public health,1145
urgently needed,1141
around 35,1132
needed primarily,1129
tsp food,1128
elderly legalization,1127
primarily elderly,1126
also help,1092
every contribution,1082
contribution counts,1082
counts find,1082
organisations fight,1082
help organisations,1047
find also,1046
