gram,counts
covid 19,111829
death toll,2610
new year,2259
new cases,2196
boris johnson,1554
bharat biotech,1469
emergency use,1437
tested positive,1406
health care,1106
public health,1066
fake news,989
united states,943
stay home,875
cases deaths,710
vaccine rollout,658
every day,639
last year,607
new strain,575
around world,563
facemasks well,536
south africa,535
selling cute,535
related facemasks,535
stickers pillows,535
pillows etc,533
health officials,514
recovery rate,500
healthcare workers,498
active cases,498
body evidence,490
us official,489
evidence shows,470
man city,470
national lockdown,462
second wave,459
deaths real,457
leaked chinese,456
