gram,counts
covid 19,149288
new cases,3677
second wave,2672
white house,2170
public health,2040
tested positive,1746
swine flu,1459
boris johnson,1367
death toll,1333
united states,1228
testing guidance,1179
every american,1130
active cases,1127
fox news,1047
24 hours,1038
confirmed cases,995
herd immunity,993
cdc reverses,987
intentionally manufactured,968
ccp intentionally,954
intentionally released,920
health care,918
american deaths,917
manufactured released,915
new deaths,914
good thing,856
new normal,826
national lockdown,821
house aide,772
face masks,745
cashless society,743
mental health,704
health officials,701
face mask,688
tucker carlson,675
first time,672
