gram,counts
covid 19,80234
booster shot,2808
new cases,1530
fully vaccinated,1383
food medical,1308
cutting food,1307
military cutting,1304
sep27coup warcrimesofjunta,1301
whatshappeninginmyanmar freezepaymentstojunta,1301
total_stopsponsoringsac whatshappeninginmyanmar,1300
warcrimesofjunta total_stopsponsoringsac,1299
booster shots,867
public health,853
vaccine booster,794
vaccine mandate,739
give insight,706
scientists usafacts,694
health care,662
vaccine cowinblore1844,628
bbmp cowin,546
cowinblore1844 bbmp,546
active cases,527
tested positive,490
last year,466
24 hours,447
whatshappeninginmyanmar crimesagainsthumanity,425
united states,422
crimesagainsthumanity juntausesartilleryweapons,422
vintage homedecor,419
look found,409
found ebay,408
white house,396
