gram,counts
covid 19,141427
new cases,3475
tested positive,2682
prince william,2238
white house,1910
public health,1641
second wave,1336
death toll,1303
boris johnson,1255
united states,1250
active cases,1145
700 deaths,1082
mental health,1060
health care,1039
confirmed cases,1023
24 hours,918
cases deaths,913
stay home,902
death rate,855
loved ones,834
herd immunity,784
recovery rate,754
bluntly contradicts,729
wear masks,723
all out,714
top trump,705
threat urging,705
new deaths,697
first wave,696
election2020 electionday,642
trump wants,625
national lockdown,619
