gram,counts
covid 19,119806
sep1coup whatshappeninginmyanmar,2263
new cases,1701
fully vaccinated,1521
asean_standfordemocracy sep1coup,1402
sep1coup asean_standfordemocracy,1143
asean_standfordemocracy whatshappeninginmyanmar,1121
public health,1099
tested positive,1036
herd immunity,885
hal ini,837
24 hours,739
texas school,681
named mu,645
vaccine passport,622
vaccine cure,617
last year,550
active cases,536
never vaccine,522
closes teachers,518
water careful,518
world health,509
booster shots,503
vaccine doses,488
