gram,counts
covid 19,98189
new cases,2812
white house,2648
twitter removes,1761
herd immunity,1564
public health,1346
tested positive,1135
misinformation surrounding,1031
doctors speak,1015
second wave,994
motorcycle rally,973
speak misinformation,970
united states,965
sturgis motorcycle,939
party video,935
shows evidence,934
intentionally chinese,934
evidence two,933
two short,933
short reports,933
spread intentionally,933
active cases,894
scott atlas,852
rally may,827
may spread,826
mental health,744
top white,729
death toll,728
24 hours,722
removes top,715
tweet claiming,714
around world,682
removes tweet,678
wear masks,634
new deaths,584
confirmed cases,550
used mongolia,548
health care,543
mask wearing,540
trump rally,537
nursing homes,527
recovery rate,482
death rate,471
fake news,470
first time,460
