gram,counts
covid 19,112546
new cases,3581
first time,1605
united states,1512
tested positive,1438
public health,1245
november 4th,1116
day first,1023
24 hours,1000
active cases,915
second wave,816
please help,809
death toll,762
wins election,746
true story,742
mental health,741
recommended reading,732
diary true,730
story selling,730
new deaths,722
tops 100,708
long term,656
boris johnson,633
in ballots,627
confirmed cases,614
stay home,612
one prophesied,569
ravaging locusts,567
states tops,564
white house,558
recovery rate,534
health care,525
