gram,counts
true href rel,4357
rel nofollow twitter,3514
nofollow twitter web,2490
twitter web app,2126
never go away,1988
may never go,1912
stay at home,1719
wisconsin supreme court,1094
new york times,952
nofollow twitter android,841
world health organization,771
manafort released prison,725
fbi serves warrant,697
work home forever,645
released home confinement,617
former trump campaign,604
trump campaign chairman,601
long term care,587
tech plans profit,576
plans profit pandemic,561
serves warrant senator,553
manafort released home,553
winter modern history,536
warrant senator investigation,530
this virus may,520
hotspots appear republican,454
