gram,counts
covid 19,132164
new zealand,10144
days without,6643
community transmission,5769
without community,5604
new cases,3468
tested positive,2646
united states,1927
social security,1719
death toll,1443
public health,1318
confirmed cases,1307
white house,1272
high school,1236
back school,1130
active cases,1016
stay positive,1011
24 hours,906
end american,831
long term,807
new deaths,800
tests negative,795
college football,767
security medicare,750
american rolling,715
death rate,712
face masks,703
stay home,703
please help,677
cases top,673
every day,668
face mask,661
nursing homes,630
cases deaths,627
