gram,counts
covid 19,78049
new cases,1641
whatshappeninginmyanmar mar21coup,1011
freedom speech,866
last year,768
tested positive,746
speech whatshappeninginmyanmar,730
first dose,712
public health,704
vaccine rollout,649
one year,606
24 hours,596
concerned impact,470
vaccines increasingly,469
increasingly deployed,469
deployed mass,469
campaigns conducted,469
conducted heat,469
heat pandemic,469
warning amp,469
turnthetide provaxxer,468
active cases,467
increased risk,453
extremely concerned,426
received first,402
united states,395
fully vaccinated,391
vaccine doses,387
speedy recovery,386
death toll,370
new deaths,369
