gram,counts
covid 19,96672
2021 vaccine,3447
min age,3445
vaccine vaccinepune,3445
vaccinepune cowin,3445
covishield min,3020
fully vaccinated,2039
new cases,1906
booster shots,1706
whereistheburmabill whatshappeninginmyanmar,1554
coup we,1343
must win,1335
end whereistheburmabill,1333
coup whereistheburmabill,1262
weapon whereistheburmabill,1238
weapons stoparrestingdoctors,1207
every time,1176
iraniandvwinners interviews,1117
cases worse,1095
pass because,1093
country dead,1093
public health,1079
tested positive,1053
whatshappeninginmyanmar rejectmilitarycoup,871
whatshappeninginmyanmar crimesagainsthumanity,781
stop abductions,765
crimesagainsthumanity stoptorture,764
abductions whatshappeninginmyanmar,760
booster shot,665
new zealand,646
health care,633
last year,615
24 hours,612
health officials,586
active cases,499
hospitalvaccines covishield,491
death toll,475
united states,455
aug20coup whatshappeninginmyanmar,453
