gram,counts
covid 19,86750
july1coup whatshappeninginmyanmar,14367
crimesagainsthumanity july1coup,4015
family died,3886
terrorists abducted,3882
abducted nld,3852
2021 vaccine,3652
min age,3550
vaccine vaccinepune,3550
vaccinepune cowin,3550
covishield min,3088
lied family,2109
tortured death,2086
death lied,2082
member tortured,2081
disease crimesagainsthumanity,2078
must succeed,2023
military boots,2022
succeed july1coup,2022
boots revolution,2020
whatshappeninginmyanmar july1coup,1998
terrorists always,1908
excuses crimesagainsthumanity,1904
wundwin township,1789
township meiktila,1786
told family,1769
today july1coup,1763
new cases,1586
milkteaalliance whatshappeninginmyanmar,1026
fully vaccinated,950
24 hours,805
public health,696
last year,567
capacity dates,515
new deaths,515
