gram,counts
covid 19,93594
military coup,1863
coup myanmar,1855
new cases,1572
cvs near,1547
fully vaccinated,987
24 hours,826
last year,780
spread awareness,758
vaccine doses,751
public health,726
active cases,667
washington state,657
red cross,630
need food,606
cash assistance,605
international federation,602
cross ifrc,602
across myanmar,602
facing poverty,602
food cash,602
coup whatshappeninginmyanmar,599
please retweet,575
united states,541
second wave,435
first dose,418
fake news,417
mental health,413
tested positive,402
first time,400
positivity rate,396
