gram,counts
covid 19,128158
july20coup whatshappeninginmyanmar,22937
stoparrestingdoctors july20coup,14815
whatshappeninginmyanmar july20coup,8437
stoparrestingdoctors whatshappeninginmyanmar,4960
july20coup stoparrestingdoctors,3976
doctors stoparrestingdoctors,3714
2021 vaccine,3580
min age,3578
vaccine vaccinepune,3578
vaccinepune cowin,3578
whatshappeninginmyanmar crimesagainsthumanity,3107
crimesagainsthumanity releasethedetainees,3049
covishield min,2936
fully vaccinated,2369
waiting cremation,2140
yayway cemetery,2140
200 within,2139
death tolls,2124
total death,2124
reached 200,2113
within month,2113
cremation yayway,2112
amp reached,2109
third wave,2108
cemetery total,2100
month stoparrestingdoctors,2094
sorry hear,1957
free leaders,1943
power free,1938
really sorry,1937
leaders releaseallpoliticalprisoners,1937
hear rest,1935
releaseallpoliticalprisoners whatshappeninginmyanmar,1934
myanmar whatshappeninginmyanmar,1908
white house,1893
military terrorists,1883
abducting doctors,1882
death toll,1875
terrorists arresting,1871
arresting doctors,1862
cases rised,1847
whatshappeninginmyanmar auspicerefugees,1807
access oxygen,1729
terrorists council,1727
effort access,1727
council took,1726
took responsibility,1724
new cases,1723
releasethedetainees july20coup,1633
whatshappeninginmyanmar myanmarneedso2,1605
also help,1604
contribution counts,1581
helpmindat july20coup,1580
every contribution,1579
counts find,1579
looted public,1579
terrorists looted,1578
organisations fight,1577
time looted,1577
looted donations,1577
disease stoparrestingdoctors,1573
crimesagainsthumanity july20coup,1564
find also,1548
help organisations,1547
military coup,1532
myanmar crimesagainsthumanity,1521
tested positive,1477
o2 shortage,1476
whatshappeninginmyanmarreject military,1475
july20coup whatshappeninginmyanmarreject,1474
buddhist scriptures,1471
military religious,1467
ministry advised,1467
scriptures infected,1461
watching citizens,1461
ordered shutdown,1461
advised pray,1460
shutdown o2,1460
plants whatshappeninginmyanmar,1458
assistance needed,1378
