gram,counts
covid 19,97924
new cases,1743
vaccine appointment,1565
vaccination cowinnotifier,1468
fee free,1414
last year,1379
fully vaccinated,1337
cvs near,1198
public health,976
24 hours,875
vaccine doses,869
second wave,846
euro2020 buttervideoteaser,843
israelunderattack freepalestine,843
freepalestine bts_butter,843
bts_butter invasionceuta,843
government hiding,752
demand release,751
via march_change,751
hiding secret,749
pandemic sign,748
death toll,735
buttervideoteaser googleio,709
stay home,639
mental health,626
active cases,572
fox news,521
please help,512
first dose,511
health ministry,500
total lockdown,483
vaccine manufacturer,466
united states,458
anti vaccine,454
fox pushed,434
misinformation including,434
including anti,434
tested positive,433
vaccine misinfo,432
year alone,431
pushed 13,431
beyond time,430
news last,429
manufacturer beyond,426
