gram,counts
covid 19,105080
new cases,3036
herd immunity,1612
tested positive,1537
public health,1332
white house,1127
united states,915
misinformation surrounding,862
second wave,858
24 hours,845
doctors speak,843
active cases,835
death toll,821
speak misinformation,819
wear masks,761
spread intentionally,722
shows evidence,712
evidence two,710
manufactured spread,710
intentionally chinese,710
mental health,707
number new,668
first time,663
highest number,614
around world,577
cases rise,567
confirmed cases,556
boris johnson,555
nursing homes,542
new deaths,510
cases deaths,508
trump rally,497
stay home,491
