gram,counts
covid 19,166262
suicideawareness byeivanka,10568
new cases,6264
tested positive,2916
new normal,2805
wear masks,2588
stay home,2527
white house,2032
public health,1899
united states,1896
death toll,1805
confirmed cases,1745
24 hours,1515
face masks,1501
nursing homes,1487
death rate,1381
second wave,1212
active cases,1160
health care,1155
family detention,1147
face mask,1144
new deaths,1115
contact tracing,1025
measures protect,982
day record,946
foxnews seanhannity,942
cases one,933
total number,932
health officials,930
seanhannity cnn,922
around world,907
wash hands,855
