gram,counts
covid 19,210326
tested positive,33223
first lady,24376
white house,15497
trump first,14185
lady tested,7768
hope hicks,7742
testing positive,7381
professional mask,6129
comfortable wear,5197
recommend professional,5132
speedy recovery,4386
wash hands,3665
google search,3641
search ushoparea,3620
tested negative,3349
channel hoping,3268
fake news,3253
virus defeated,3125
trump wife,2940
away virus,2863
hands disinfect,2849
purchasing channel,2847
certification wear,2847
united states,2745
kellyanne conway,2740
wear masks,2543
google searches,2529
searches ushoparea,2509
defeated comfortable,2495
tests negative,2453
says first,2451
amy coney,2419
buying channel,2285
reed hospital,2220
fox news,2216
boris johnson,2122
thoughts prayers,2112
new cases,2078
news trump,1741
chris wallace,1741
public health,1740
trump testing,1738
ordinary citizens,1521
protect themselvesdoctors,1515
themselvesdoctors recommend,1515
world leaders,1401
antibody cocktail,1353
positive for,1288
thom tillis,1266
