gram,counts
covid 19,76775
new cases,1431
last year,1359
forward taking,1124
measures coming,1124
usembassyturkey ecaatstate,1080
cleaningdistancemaskj1visa turkishstudentsarereadyforswt,1069
uschamber commercegov,1048
tested positive,868
happy easter,766
24 hours,738
year government,646
government competitive,644
worst government,642
government situation,640
vaccine passports,623
public health,586
nolockdownplease nolockdownplease,533
vaccine doses,509
high level,480
health authorities,467
active cases,452
fully vaccinated,440
easter sunday,437
vaccine rollout,402
new deaths,361
