gram,counts
covid 19,201547
national security,4918
new cases,4386
tested positive,4129
security adviser,3764
white house,2944
public health,2029
united states,1719
watch live,1618
press conference,1495
disinformation campaign,1462
first animal,1448
death toll,1440
frontline physicians,1396
physicians aim,1390
confirmed cases,1335
becomes first,1279
active cases,1272
live frontline,1272
second wave,1257
cat becomes,1251
stay home,1219
wear masks,1204
24 hours,1194
face mask,1107
new deaths,1096
health care,1053
face masks,1050
wearing masks,1036
herd immunity,1033
testing facilities,1010
back school,1000
vaccine study,996
security advisor,982
nursing homes,960
total number,948
mental health,947
frontline doctors,910
aged care,909
breaking american,891
south africa,876
every day,866
