gram,counts
covid 19,82648
tested positive,2498
speedy recovery,2344
new cases,1674
khan tested,1031
last year,896
first dose,840
public health,785
24 hours,667
self isolating,599
one year,592
third wave,590
partially closed,558
isolating home,534
chinese vaccine,527
active cases,495
ncaa tournament,477
stay home,445
vaccine doses,434
united states,431
takedowntheccp 爆料革命,413
unrestrictedbioweapon contemporarybioweapon,405
contemporarybioweapon contemporarygeneticweapon,402
spreading across,391
first time,390
death toll,388
wear masks,381
