gram,counts
true href rel,3362
rel nofollow twitter,2908
nofollow twitter web,1996
twitter web app,1725
new york times,972
protect november election,769
nofollow twitter android,744
new york city,735
voter cast ballot,732
cast ballot mail,732
every voter cast,732
bill guarantee every,732
demandprogress protect november,728
stand demandprogress protect,726
dutch study times,613
petition via ukchange,596
health care workers,557
world health organization,539
stay at home,533
pandemic peak nears,496
testing sites pandemic,493
sites pandemic peak,491
stay home stay,444
officials appearing cnn,441
public health officials,418
home stay safe,381
minister boris johnson,359
health officials appearing,354
epoch times app,347
please download share,343
