gram,counts
covid 19,138716
tested positive,5032
new cases,4195
speedy recovery,2511
death toll,1927
cover up,1532
stay home,1453
wear masks,1453
public health,1426
united states,1424
bachchan tests,1408
24 hours,1397
first time,1314
abhishek bachchan,1260
accuses beijing,1244
face masks,1241
death rate,1145
confirmed cases,1098
world reopens,1066
active cases,1028
fake news,1018
flees hong,1015
amitabhbachchan abhishekbachchan,999
new deaths,964
bachchan abhishek,891
face mask,887
fox news,884
final year,859
treat whistleblowers,813
bachchan tested,790
know treat,789
testing positive,767
cases deaths,766
wash hands,762
long term,761
back school,753
second wave,746
nursing homes,741
white house,723
every day,706
highest risk,688
wears mask,657
health care,638
long expected,623
times history,616
history country,611
