gram,counts
covid 19,111169
new cases,3067
trump officials,2674
interfered cdc,2620
officials interfered,2494
vaccine trial,2311
tested positive,1455
public health,1314
24 hours,1263
first time,1170
death toll,1122
united states,1105
trump knew,1024
oxford university,986
active cases,939
wear masks,892
vaccine trials,886
new deaths,875
confirmed cases,841
since march,833
could least,756
claims proof,624
second wave,594
mental health,588
white house,572
production act,552
cashless society,551
university resume,551
emergency temporary,539
temporary standard,538
osha emergency,536
told us,530
around world,528
every day,526
