gram,counts
covid 19,83235
new cases,3243
white house,1283
united states,1153
tested positive,994
public health,975
active cases,859
24 hours,658
stay home,643
every day,602
confirmed cases,570
death toll,566
new deaths,556
cases rise,526
wear masks,516
health care,502
second wave,498
nursing home,457
becomes first,453
wash hands,451
cases deaths,438
third wave,436
recovery rate,436
mask wearing,431
around world,424
new normal,403
us election,395
mental health,392
biden announce,391
boris johnson,369
straight day,368
first time,358
loved ones,349
new death,347
empower educate,331
