gram,counts
covid 19,138437
new cases,4029
tested positive,2359
public health,1856
united states,1442
death toll,1336
conspiracy theory,1330
24 hours,1267
new deaths,1101
confirmed cases,1087
second wave,1069
active cases,1059
stay home,1041
face masks,999
herd immunity,969
long term,947
accuses beijing,892
know treat,886
world truth,884
spread truth,881
treat whistleblowers,881
pls spread,877
whistleblowers telling,875
hurricane hanna,870
nursing homes,865
singh chouhan,831
white house,809
face mask,789
south korea,751
health care,738
tested negative,722
back school,675
boris johnson,674
total number,655
