gram,counts
covid 19,107031
new cases,2483
public health,1469
tested positive,1266
stay home,1186
united states,974
white house,958
themandalorian mulan,880
bbtvi2020 followtrick,774
at home,757
24 hours,734
health care,722
death toll,706
active cases,677
cause death,653
followtrick boulos,647
around world,618
nintendoswitch xbox,595
every day,593
tem bot,546
health minister,545
new deaths,544
health officials,536
nursing home,533
vaccine first,503
wash hands,503
vaccine trial,502
xboxseriesx ps5restock,494
leading cause,465
recovery rate,459
get vaccine,453
healthcare workers,436
