gram,counts
covid 19,159765
new cases,2768
health care,2477
public health,1864
herd immunity,1673
tested positive,1514
white house,1462
click link,1347
football match,1206
live football,1200
match check,1198
united states,1180
stay home,1172
allergic reaction,1132
effects _________,1124
long term,1118
impossible crew,1002
boris johnson,960
healthcare workers,938
care worker,935
care workers,916
24 hours,852
get vaccine,829
at home,816
active cases,813
second wave,812
health officials,802
related facemasks,791
facemasks well,791
stickers pillows,791
pillows etc,791
want infected,765
mugs phone,760
phone cases,760
cases stickers,760
death toll,758
new deaths,755
pfizer vaccine,729
vaccine rollout,725
lie year,693
loved ones,691
wear masks,690
recovery rate,684
mental health,677
confirmed cases,663
first time,638
realdonaldtrump foxnews,618
