gram,counts
covid 19,123019
new cases,3131
plasma treatment,2805
majority republicans,2788
republicans believe,2754
emergency authorization,2382
death toll,1778
trump announces,1599
1trenggalek thearieair,1334
tested positive,1327
white house,1279
public health,1194
announces emergency,1077
24 hours,1067
plasma treat,1052
united states,1031
active cases,1028
life party,988
emergency use,951
thearieair 1802_kimmi,938
announce emergency,851
missing school,845
confirmed cases,828
south korea,821
second wave,814
wear masks,804
new deaths,725
therapeutic breakthrough,714
death rate,698
republicans think,691
treatment authorized,659
please help,650
nursing homes,648
realdonaldtrump foxnews,622
press secretary,606
breakthrough therapeutic,591
