gram,counts
covid 19,88667
whatshappeninginmyanmar june18coup,2526
abducted tortured,2465
terrorists myanmar,2465
tortured brainless,2464
wisdoms abducted,2460
educated person,2459
sense whatshappeninginmyanmar,2454
new cases,1412
cvs near,1339
2021 vaccine,1103
min age,1101
vaccine vaccinepune,1101
vaccinepune cowin,1101
fully vaccinated,1055
please listen,980
50 charities,978
calling urgent,977
written calling,976
borisjohnson please,973
charities written,973
public health,937
last year,934
third wave,832
covishield min,779
vaccine doses,673
crash course,632
active cases,608
24 hours,591
frontline workers,565
tested positive,511
first dose,497
british airways,483
united states,482
long term,450
death toll,446
