gram,counts
covid 19,147597
kimberly guilfoyle,6734
tested positive,4753
new cases,4622
white house,3048
4th july,2856
mount rushmore,2664
campaign official,2450
stay home,2403
need live,2087
death rate,1948
fourth july,1924
united states,1815
top trump,1601
24 hours,1594
public health,1592
july 4th,1565
death toll,1492
official tests,1479
cases rise,1386
happy 4th,1373
new message,1271
whitehouse realdonaldtrump,1140
confirmed cases,1133
live white,1107
active cases,1097
fake news,1083
read thread,1069
wash hands,1060
secret service,1035
face masks,1032
face mask,980
top story,977
please read,949
testing positive,912
party needs,910
guilfoyle top,907
rushmore speech,906
official trump,904
needs come,874
fund raising,871
top fund,865
new deaths,864
raising official,863
fox news,843
second wave,820
campaign tests,798
every day,791
study shows,757
world health,742
official girlfriend,732
health care,715
